Benchmark,Prefetcher,File,IPC,Instructions,L1D_Load_Miss,L1D_Load_Access,L1D_RFO_Miss,L1D_RFO_Access,L1D_Total_Miss,L1D_Total_Access,Prefetch_Issued,Prefetch_Useful,Prefetch_Level,LLC_Total_Access,L1D_MPKI,LLC_APKI,Baseline_IPC,Speedup,Baseline_L1D_Miss,Coverage,Accuracy
602.gcc_s-1850B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---602.gcc_s-1850B.champsimtrace.xz,0.433319,200000000.0,1168508.0,38706575.0,1605.0,17263553.0,4581545.0,91440264.0,116813589.0,3316978.0,L1D,3694302.0,22.907725,18.47151,0.433319,1.0,4581545.0,0.0,
605.mcf_s-782B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---605.mcf_s-782B.champsimtrace.xz,0.228969,200000001.0,21831889.0,41984075.0,60519.0,3352403.0,30961052.0,87965871.0,161467354.0,9064555.0,L1D,26178616.0,154.805259,130.893079,0.228969,1.0,30961052.0,0.0,
602.gcc_s-2226B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---602.gcc_s-2226B.champsimtrace.xz,0.40238,200000000.0,2975975.0,32564761.0,5477.0,2659791.0,14457715.0,127141099.0,311663995.0,11027019.0,L1D,14805940.0,72.288575,74.0297,0.40238,1.0,14457715.0,0.0,
607.cactuBSSN_s-2421B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---607.cactuBSSN_s-2421B.champsimtrace.xz,0.796556,200000003.0,21633972.0,34929071.0,1608340.0,22658355.0,23253038.0,57643932.0,123544.0,3998.0,L1D,2418295.0,116.265188,12.091475,0.796556,1.0,23253038.0,0.0,
603.bwaves_s-1740B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---603.bwaves_s-1740B.champsimtrace.xz,1.04595,200000001.0,221786.0,66646194.0,97449.0,11185884.0,3998457.0,173206543.0,203940863.0,3679132.0,L1D,3907874.0,19.992285,19.53937,1.04595,1.0,3998457.0,0.0,
607.cactuBSSN_s-4004B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---607.cactuBSSN_s-4004B.champsimtrace.xz,0.855849,200000002.0,13487789.0,62716473.0,1213231.0,16023709.0,14719685.0,78972976.0,939728.0,11345.0,L1D,1175140.0,73.598424,5.8757,0.855849,1.0,14719685.0,0.0,
603.bwaves_s-2931B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---603.bwaves_s-2931B.champsimtrace.xz,1.20545,200000001.0,858364.0,38197362.0,1870578.0,33252199.0,4676646.0,117616219.0,117821374.0,1769552.0,L1D,4157139.0,23.38323,20.785695,1.20545,1.0,4676646.0,0.0,
623.xalancbmk_s-165B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---623.xalancbmk_s-165B.champsimtrace.xz,0.876206,200000001.0,133106.0,31085621.0,3129.0,2954725.0,4256797.0,62013274.0,65546217.0,3853652.0,L1D,3493039.0,21.283985,17.465195,0.876206,1.0,4256797.0,0.0,
605.mcf_s-1152B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---605.mcf_s-1152B.champsimtrace.xz,0.293475,200000000.0,9768502.0,48971517.0,609011.0,16716266.0,13968213.0,90618746.0,81269641.0,3571111.0,L1D,10479847.0,69.841065,52.399235,0.293475,1.0,13968213.0,0.0,
623.xalancbmk_s-202B,No-Prefetch,hashed_perceptron-no-vberti-no-no-no-no-no-lru-lru-lru-srrip-drrip-lru-lru-lru-1core-no---623.xalancbmk_s-202B.champsimtrace.xz,0.882299,200000000.0,201003.0,32865511.0,0.0,3538725.0,5173860.0,76257218.0,86100888.0,4820080.0,L1D,4969955.0,25.8693,24.849775,0.882299,1.0,5173860.0,0.0,
